ProviderName,TIN,AOC,Clinic_Name,Clinic_Address,Clinic_Type,Notes
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC AVONDALE,950 E VAN BUREN ST AVONDALE AZ 85323,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC CHANDLER,811 S HAMILTON ST CHANDLER AZ 85225,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC GUADALUPE,5825 E CALLE GUADALUPE GUADALUPE AZ 85283,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC MCDOWELL,1101 N CENTRAL AVE STE 204 PHOENIX AZ 85004,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC MESA,950 E MAIN ST MESA AZ 85203,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC NORTH PHOE,2025 W NORTHERN AVE PHOENIX AZ 85021,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC PEORIA,8088 W WHITNEY DR PEORIA AZ 85345,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC PHOENIX,2525 E ROOSEVELT ST PHOENIX AZ 85008,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC SOUTH CENT,33 W TAMARISK ST PHOENIX AZ 85041,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC SOUTH PHOE,5650 S 35TH AVE PHOENIX AZ 85041,Federally Qualified Health Center,
MARICOPA COUNTY SPECIAL HEALTH,860830701,ADULT PCP,VALLEYWISE CHC WEST MARYV,7808 W THOMAS RD PHOENIX AZ 85033,Federally Qualified Health Center,
