ProviderName,TIN,AOC,Clinic_Name,Clinic_Address,Clinic_Type,Notes
1ST CARE MEDICAL CLINIC,203928729,ADULT PCP,1ST CARE MEDICAL CLINIC,1635 W GLENDALE AVE PHOENIX AZ 85021,Other,
1ST CARE MEDICAL CLINIC,203928729,ADULT PCP,1ST CARE MEDICAL CLINIC,1ST CARE MED CLINIC 1635 W GLENDALE AVE PHOENIX AZ 85021,Other,
ACCU CARE URGENT CARE LLC,900187476,ADULT PCP,"ACCU CARE URGENT CARE,LLC",7041 N 35TH AVE PHOENIX AZ 85051,Other,
ALIA FAMILY PRACTICE INC,203534882,ADULT PCP,TEMPE FAMILY PRACTICE,6655 S RURAL RD STE 3 TEMPE AZ 85283,Other,
ALIUM HEALTH LLC,823913679,ADULT PCP,ALIUM HEALTH LLC,7425 E SHEA BLVD STE 107 SCOTTSDALE AZ 85260,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS,1075 S IDAHO ROAD SUITE 206 APACHE JUNCTION AZ 85119,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS,1780 E FLORENCE BLVD SUITE 108 CASA GRANDE AZ 85122,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS,8901 E RAINTREE DRIVE SUITE 150 SCOTTSDALE AZ 85260,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,1300 S COUNTRY CLUB DR STE 3 MESA AZ 85210,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,13640 N PLAZA DEL RIO BLVD PEORIA AZ 85381,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,13995 W STATLER BLVD BLDG 1 SURPRISE AZ 85374,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,1435 S ALMA SCHOOL RD CHANDLER AZ 85286,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,14416 W MEEKER BLVD SUN CITY WEST AZ 85375,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,155 E WARNER RD GILBERT AZ 85296,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,17900 N PORTER RD MARICOPA AZ 85138,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,1811 E MCMURRAY BLVD CASA GRANDE AZ 85122,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,1917 S CRISMON RD MESA AZ 85209,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,20751 W MARKET ST BUCKEYE AZ 85396,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,21772 S ELLSWORTH LOOP RD QUEEN CREEK AZ 85142,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,28471 N VISTANCIA BLVD STE 102 PEORIA AZ 85383,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,3235 N HUNT HWY STE 103 FLORENCE AZ 85132,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,37100 N GANTZEL RD STE 201 SAN TAN VALLEY AZ 85140,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,4375 E IRMA LN PHOENIX AZ 85050,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,4530 E RAY RD STE 190 PHOENIX AZ 85044,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,4720 E GREENWAY RD PHOENIX AZ 85032,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,4860 N LITCHFIELD RD STE 102 LITCHFIELD PARK AZ 85340,Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,"7701 W ASPERA BLVD STE 102, 201, 301 GLENDALE AZ 85308",Other,
BANNER PRIMARY CARE PHYSICIANS,900730400,ADULT PCP,BANNER PRIMARY CARE PHYS.,9780 S ESTRELLA PKWY GOODYEAR AZ 85338,Other,
BANNER UNIV PRIMARY CARE PHYSICIANS,901116752,ADULT PCP,BANNER UNIV PRIMARY CARE,1300 N 12TH ST STE 500 PHOENIX AZ 85006,Other,
BANNER UNIV PRIMARY CARE PHYSICIANS,901116752,ADULT PCP,BANNER UNIV PRIMARY CARE,1300 N 12TH ST STE 508 PHOENIX AZ 85006,Other,
BANNER UNIV PRIMARY CARE PHYSICIANS,901116752,ADULT PCP,BANNER UNIV PRIMARY CARE,1300 N 12TH ST STE 605&608 PHOENIX AZ 85006,Other,
BANNER UNIV PRIMARY CARE PHYSICIANS,901116752,ADULT PCP,BANNER UNIV PRIMARY CARE,4200 E CAMELBACK RD STE 202 PHOENIX AZ 85018,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,1141 S LA CANADA DR GREEN VALLEY AZ 85614,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,2800 E AJO WAY BLDG 100 TUCSON AZ 85713,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,2945 W INA RD STE 121 TUCSON AZ 85741,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,3533 CANYON DE FLORES STE C SIERRA VISTA AZ 85650,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,6860 E SUNRISE DR STE 100 TUCSON AZ 85750,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,707 N ALVERNON WAY STE 101 TUCSON AZ 85711,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,707 N ALVERNON WAY STE 201 TUCSON AZ 85711,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,7901 E 22ND ST TUCSON AZ 85710,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,8020 N CORTARO RD STE 150 TUCSON AZ 85743,Other,
BANNER-UNIVERSITY MEDICAL GRP,942958258,ADULT PCP,BANNER - UNIVERSITY MEDIC,8290 S HOUGHTON RD STE 150 TUCSON AZ 85747,Other,
CENTRAL PHOENIX FAMILY MEDICINE,201270514,ADULT PCP,CENTRAL PHOENIX FAMILY ME,333 W THOMAS RD STE 207 PHOENIX AZ 85013,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,1315 W SOUTHERN AVE TEMPE AZ 85282,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,13402 N 32ND ST PHOENIX AZ 85032,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,15235 N DYSART RD EL MIRAGE AZ 85335,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,1533 E WILLETTA ST PHOENIX AZ 85006,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,301 E COTTONWOOD LN STE 1&2 CASA GRANDE AZ 85122,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,4250 W BASELINE RD LAVEEN AZ 85339,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,616 E SOUTHERN AVE STE 103 MESA AZ 85204,Other,
CLINICA LA FAMILIA PC,861039168,ADULT PCP,CLINICA LA FAMILIA PC,7734 N 59TH AVE GLENDALE AZ 85301,Other,
COMMUNITY BRIDGES INC,942880847,ADULT PCP,"COMMUNITY BRIDGES, INC",3250 E 40TH ST BLDG A YUMA AZ 85365,Other,
COMMUNITY BRIDGES INC,942880847,ADULT PCP,"COMMUNITY BRIDGES, INC",5734 HOPE LN STE 2 GLOBE AZ 85501,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,1033 N ARIZONA AVE CHANDLER AZ 85225,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,1311 E THOMAS RD PHOENIX AZ 85014,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,3306 W ROOSEVELT ST PHOENIX AZ 85009,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,3415 W GLENDALE AVE STE 32A PHOENIX AZ 85051,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,5104 N 67TH AVE GLENDALE AZ 85301,Other,
FELIZ CARE CENTERS PLLC,472584784,ADULT PCP,FELIZ FAMILY CARE PLLC,825 W SOUTHERN AVE STE 100 PHOENIX AZ 85041,Other,
GILA INTERNAL MEDICINE,721520982,ADULT PCP,GILA INTERNAL MEDICINE &,1742 W BETHANY HOME RD PHOENIX AZ 85015,Other,
GILA INTERNAL MEDICINE,721520982,ADULT PCP,GILA INTERNAL MEDICINE &,2727 W BASELINE RD STE 8 TEMPE AZ 85283,Other,
