Filename,Class,Name,Reason of classification,The detail reason
593634504.txt,2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool that includes (at least) the following domains: housing instability, utility assistance, food insecurity, transportation needs, interpersonal safety, social isolation/support, employment, and justice involvement.",The given document mentions the importance of HRSN Screenings to identify social aspects that influence health outcomes as part of whole person care. It also discusses the need to expand this screening to all visits and implement more accurate coding.
593636370.txt,Class 2,HRSN Screening,The document describes a process for screening clients for Health-Related Social Needs (HRSN) using an evidenced-based screening tool on an annual basis.,"This matches the criteria for Class 2: 'Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool...' "
593636371.txt,Class 2,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool",The given document mentions 'screening clients for Health-Related Social Needs (HRSN) using an evidenced based screening tool on an annual basis' which matches the criteria of Class 2: HRSN Screening.
593636611.txt,Class 2,HRSN Screening,"The document discusses screening members served by the practice annually using an evidence-based, standardized HRSN screening tool and mentions establishing processes to maintain confidentiality of patient data.","The project charter describes a process for screening Health-Related Social Needs (HRSNs) in a healthcare setting, which aligns with the criteria for Class 2: HRSN Screening. The document mentions using an evidence-based, standardized HRSN screening tool and establishing processes to maintain confidentiality of patient data, which matches the specific criteria for Class 2."
593636612.txt,Class 2,HRSN Screening,"The document discusses the importance of screening for health-related social needs and mentions using an evidence-based, standardized HRSN screening tool.","The document describes the purpose of the Health Leads Social Needs Screening project, which includes training staff on the purpose of the screening, accurate screening of clients with their families, assignment of corresponding Z and G codes, and provision of internal or external resources to clients. The document also mentions current statistics on screening rates and desired outcomes for the project."
593639464.txt,5,Engaging Caregivers,Discusses caregiver involvement and decision-making,The document mentions 'TIP 2.0 Process Milestone: Adult PCP: Identifying and engaging caregiver(s) and guardian(s) of a newborn to screen for anxiety and depression...' which directly aligns with the criteria of Class 5.
593639465.txt,4,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and identifying inequities within a patient population.,"The given document's purpose is to identify existing health inequities within the patient population by analyzing data related to health outcomes, access to healthcare services, and social determinants of health. This aligns with Class 4's criteria for discussing strategies for recognizing unmet health-related social needs."
593640958.txt,Others,Others,No matching criteria found in the given classes.,"None of the provided class criteria match with the content of the document, which discusses project charter and health equity analysis. The document does not mention any specific social needs or services related to the other classes."
593652969.txt,Others,Others,No matching class found,"The document discusses a project aimed at improving patient experience by identifying and addressing healthcare disparities, but it does not match any of the provided classes' criteria."
593744347.txt,Class 1,CLAS Standards,"Project aims to improve health outcomes and increase health equity, which aligns with the CLAS Standards criteria.","The document mentions paneling patients to PCP services to improve health outcomes, which is a key aspect of Building and supporting a culturally and linguistically diverse practice team."
