grader,assignment_id,name,criteria,score
Kailey Love,45610637,TIP Online Project (PDSA Cycle) - Justice AOC,Alignment with Project Charter,1
Kailey Love,45610637,TIP Online Project (PDSA Cycle) - Justice AOC,Plan,1
Kailey Love,45610637,TIP Online Project (PDSA Cycle) - Justice AOC,Do,1
Kailey Love,45610637,TIP Online Project (PDSA Cycle) - Justice AOC,Study,1
Kailey Love,45610637,TIP Online Project (PDSA Cycle) - Justice AOC,Act,1
Kailey Love,45610565,TIP Online Project (PDSA Cycle) - Adult AOC,Alignment with Project Charter,1
Kailey Love,45610565,TIP Online Project (PDSA Cycle) - Adult AOC,Plan,1
Kailey Love,45610565,TIP Online Project (PDSA Cycle) - Adult AOC,Do,1
Kailey Love,45610565,TIP Online Project (PDSA Cycle) - Adult AOC,Study,1
Kailey Love,45610565,TIP Online Project (PDSA Cycle) - Adult AOC,Act,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Alignment with Project Charter,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Plan,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Do,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Study,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Act,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Alignment with Project Charter,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Problem Definition,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Data Collection,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Data Analysis,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Identifying Potential Root Causes,1
Kailey Love,45610525,TIP Online Project (Root Cause Analysis) - Peds AOC,Developing Corrective Actions,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Alignment with Project Charter,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Problem Definition,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Data Collection,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Data Analysis,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Identifying Potential Root Causes,1
Kailey Love,45610527,TIP Online Project (Root Cause Analysis) - Justice AOC,Developing Corrective Actions,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Alignment with Project Charter,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Problem Definition,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Data Collection,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Data Analysis,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Identifying Potential Root Causes,1
Kailey Love,45610473,TIP Online Project (Root Cause Analysis) - Adult AOC,Developing Corrective Actions,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Alignment with Project Charter,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Plan,1
Kailey Love,45610635,TIP Online Project (PDSA Cycle) - Peds AOC,Do,1
