user_id,Topic_Project_A,Reason of classification_A,The detail reason_A,Topic_Project_B,Reason of classification_B,The detail reason_B
111715984,HRSN Screening,The document describes a process for screening clients for Health-Related Social Needs (HRSN) using an evidenced-based screening tool on an annual basis.,"This matches the criteria for Class 2: 'Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool...' ",Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions a specific screening tool (PRAPARE) to be used.,"The project charter aims to expand on the organization's previous work in utilizing the PRAPARE Screening Tool, which is an evidence-based method for identifying HRSNs. The document also highlights the importance of understanding and acting on clients' Social Determinants of Health."
111715984,HRSN Screening,The document describes a process for screening clients for Health-Related Social Needs (HRSN) using an evidenced-based screening tool on an annual basis.,"This matches the criteria for Class 2: 'Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool...' ",Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria of Class 4.","The given document mentions the need to screen clients for Health-Related Social Needs (HRSN) using an evidenced-based screening tool on an annual basis. This requirement is closely related to identifying HRSNs, as it aims to understand and act on the Social Determinants of Health (SDOH) of EMPACT-SPC's clients."
111715984,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool",The given document mentions 'screening clients for Health-Related Social Needs (HRSN) using an evidenced based screening tool on an annual basis' which matches the criteria of Class 2: HRSN Screening.,Identify HRSNs,The document discusses strategies for recognizing unmet health-related social needs and mentions a specific screening tool (PRAPARE) to be used.,"The project charter aims to expand on the organization's previous work in utilizing the PRAPARE Screening Tool, which is an evidence-based method for identifying HRSNs. The document also highlights the importance of understanding and acting on clients' Social Determinants of Health."
111715984,HRSN Screening,"Screening members served by the practice annually using an evidence-based, standardized HRSN screening tool",The given document mentions 'screening clients for Health-Related Social Needs (HRSN) using an evidenced based screening tool on an annual basis' which matches the criteria of Class 2: HRSN Screening.,Identify HRSNs,"The document discusses strategies for recognizing unmet health-related social needs, which aligns with the criteria of Class 4.","The given document mentions the need to screen clients for Health-Related Social Needs (HRSN) using an evidenced-based screening tool on an annual basis. This requirement is closely related to identifying HRSNs, as it aims to understand and act on the Social Determinants of Health (SDOH) of EMPACT-SPC's clients."
111716007,HRSN Screening,"The document discusses screening members served by the practice annually using an evidence-based, standardized HRSN screening tool and mentions establishing processes to maintain confidentiality of patient data.","The project charter describes a process for screening Health-Related Social Needs (HRSNs) in a healthcare setting, which aligns with the criteria for Class 2: HRSN Screening. The document mentions using an evidence-based, standardized HRSN screening tool and establishing processes to maintain confidentiality of patient data, which matches the specific criteria for Class 2.",Identify HRSNs,Mentions strategies for recognizing unmet health-related social needs and risk factors associated with HRSNs.,"The document describes the project's purpose as improving engagement clients in the treatment planning process to produce an actionable Treatment Plan that addresses their whole health goals, including HRSN. It also mentions using Social Determinants of Health (SDOH) in place of HRSN and aims to increase the number of Treatment Plans completed with a goal or objective or intervention that addresses a SDOH need, indicating strategies for recognizing unmet health-related social needs and risk factors associated with HRSNs."
111716007,HRSN Screening,"The document discusses screening members served by the practice annually using an evidence-based, standardized HRSN screening tool and mentions establishing processes to maintain confidentiality of patient data.","The project charter describes a process for screening Health-Related Social Needs (HRSNs) in a healthcare setting, which aligns with the criteria for Class 2: HRSN Screening. The document mentions using an evidence-based, standardized HRSN screening tool and establishing processes to maintain confidentiality of patient data, which matches the specific criteria for Class 2.",HRSN Screening,The document discusses screening for health-related social needs (HRSN) and transforming the information into a meaningful action via the Treatment Plan.,"The document mentions 'how to transform the information gathered from the HRSN screening into a meaningful action via the Treatment Plan', which aligns with the criteria of Class 2: HRSN Screening. Additionally, it discusses using Social Determinants of Health (SDOH) in place of HRSN and improving engagement clients in the treatment planning process to produce an actionable Treatment Plan that addresses their whole health goals."
111716007,HRSN Screening,"The document discusses the importance of screening for health-related social needs and mentions using an evidence-based, standardized HRSN screening tool.","The document describes the purpose of the Health Leads Social Needs Screening project, which includes training staff on the purpose of the screening, accurate screening of clients with their families, assignment of corresponding Z and G codes, and provision of internal or external resources to clients. The document also mentions current statistics on screening rates and desired outcomes for the project.",Identify HRSNs,Mentions strategies for recognizing unmet health-related social needs and risk factors associated with HRSNs.,"The document describes the project's purpose as improving engagement clients in the treatment planning process to produce an actionable Treatment Plan that addresses their whole health goals, including HRSN. It also mentions using Social Determinants of Health (SDOH) in place of HRSN and aims to increase the number of Treatment Plans completed with a goal or objective or intervention that addresses a SDOH need, indicating strategies for recognizing unmet health-related social needs and risk factors associated with HRSNs."
111716007,HRSN Screening,"The document discusses the importance of screening for health-related social needs and mentions using an evidence-based, standardized HRSN screening tool.","The document describes the purpose of the Health Leads Social Needs Screening project, which includes training staff on the purpose of the screening, accurate screening of clients with their families, assignment of corresponding Z and G codes, and provision of internal or external resources to clients. The document also mentions current statistics on screening rates and desired outcomes for the project.",HRSN Screening,The document discusses screening for health-related social needs (HRSN) and transforming the information into a meaningful action via the Treatment Plan.,"The document mentions 'how to transform the information gathered from the HRSN screening into a meaningful action via the Treatment Plan', which aligns with the criteria of Class 2: HRSN Screening. Additionally, it discusses using Social Determinants of Health (SDOH) in place of HRSN and improving engagement clients in the treatment planning process to produce an actionable Treatment Plan that addresses their whole health goals."
111716202,Engaging Caregivers,Discusses caregiver involvement and decision-making,The document mentions 'TIP 2.0 Process Milestone: Adult PCP: Identifying and engaging caregiver(s) and guardian(s) of a newborn to screen for anxiety and depression...' which directly aligns with the criteria of Class 5.,Postpartum Depression Screening,Relevant criteria for screening tools and protocols for postpartum depression.,"The document mentions 'standardizing screening for postpartum depression & anxiety', 'screening protocols within Denova virtual and in-office appointments', 'validated screening tools into routine postpartum care visits', which match the criteria for Class 6: Postpartum Depression Screening."
111716202,Engaging Caregivers,Discusses caregiver involvement and decision-making,The document mentions 'TIP 2.0 Process Milestone: Adult PCP: Identifying and engaging caregiver(s) and guardian(s) of a newborn to screen for anxiety and depression...' which directly aligns with the criteria of Class 5.,Identify HRSNs,Mentions risk factors associated with HRSNs and strategies for recognizing unmet health-related social needs.,"The document discusses strategies for recognizing unmet health-related social needs, mentions risk factors associated with HRSNs, and provides a plan to implement targeted strategies to address the underlying social determinants of health contributing to these disparities. This aligns with the criteria of Class 4: Identify HRSNs."
