"Id","IsDeleted","MasterRecordId","Name","Type","ParentId","BillingStreet","BillingCity","BillingState","BillingPostalCode","BillingCountry","BillingLatitude","BillingLongitude","BillingGeocodeAccuracy","ShippingStreet","ShippingCity","ShippingState","ShippingPostalCode","ShippingCountry","ShippingLatitude","ShippingLongitude","ShippingGeocodeAccuracy","Phone","Fax","AccountNumber","Website","Sic","Industry","AnnualRevenue","NumberOfEmployees","Ownership","TickerSymbol","Description","Rating","Site","OwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","Jigsaw","JigsawCompanyId","AccountSource","SicDesc","Current_Participant__c","Provider_Type__c","Org_ID__c","Primary_Email__c","Participation_Level__c","Alternate_ID__c","Primary_Address__Street__s","Primary_Address__City__s","Primary_Address__PostalCode__s","Primary_Address__StateCode__s","Primary_Address__CountryCode__s","Primary_Address__Latitude__s","Primary_Address__Longitude__s","Primary_Address__GeocodeAccuracy__s","Year_6_Milestone_Pass_Rate__c","Additional_Addresses__c","TIN_s__c","Sites__c","County_s__c","Location_Type__c","NCQA_Status__c","TI_Program_Participation__c","Clinic_NPI_s__c","Year_6_Incentive_Payment__c","DBA_Name__c","Primary_Contact__c","ACO__c","Justice_Decision__c","Competitive_Region__c","Justice_Contact_Name__c","JusticePartnerEmails__c","TI_Participation_Level__c","Current_Participant_Status__c","QIC_Attendance__c","TI_Eligibility__c"
"001Hs000037iLcqIAE","0","","AURORA BEHAVIORAL HEALTH SYS","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 21:41:45","005Hs00000CSLH8IAP","2025-03-14 17:31:04","2025-03-14 00:00:00","","","","","1","ADULT BH;PEDS BH","134310760","daryl.knigge@aurorabehavioral.com","","","","","","","","","","","","","134310760","","","None","None","TI 1.0 Participant","","","Aurora Behavioral Health","","None","","","","","","","","Y1 - Adult BH: Eligible;Y1 - Adult PCP: No Application;Y1 - Peds BH: Eligible;Y1 - Peds PCP: No Application;Y1 - Justice: No Application"
"001Hs000037iLcrIAE","0","","WILLIAMS FAMILY MEDICINE LLC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","(602) 243-6000","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-03-06 18:38:21","005Hs00000CSLH8IAP","2025-03-06 18:38:21","2025-03-04 00:00:00","","","","","0","ADULT PCP;PEDS PCP","200292751","williamsfamilymedicine6000@gmail.com","","","","","","","","","","","","","200292751","","","None","None","New TI Participant","","","Williams Family Medicine","","Equality Health","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: Eligible;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
"001Hs000037iLcsIAE","0","","STEP BY STEP PEDIATRICS INC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","(480) 776-0440","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-07 20:36:13","005Hs00000CSLH8IAP","2025-03-14 17:31:05","2025-03-14 00:00:00","","","","","1","PEDS PCP","200632335","smaher@stepbysteppediatrics.com","","","","","","","","","","","","","200632335","","","None","None","New TI Participant","","","Step By Step Pediatrics","","Phoenix Children's Care Network","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: No Application;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
"001Hs000037iLctIAE","0","","HEALING HEARTS PEDIATRIC PLC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 22:25:58","005Hs00000CSLH8IAP","2025-03-14 17:31:04","2025-03-14 00:00:00","","","","","1","PEDS PCP","201007665","eellicott@healingheartspeds.com","","","","","","","","","","","","","201007665","","","None","None","TI 1.0 Participant","","","Healing Hearts Pediatrics","","Equality Health;Phoenix Children's Care Network","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: No Application;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
"001Hs000037iLcuIAE","0","","LUCAS S CANTON MD","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 22:42:58","005Hs00000CSLH8IAP","2025-03-14 17:31:04","2025-03-14 00:00:00","","","","","1","PEDS PCP","201062848","cantonped@canton-pediatrics.com","","","","","","","","","","","","","201062848","","","None","None","TI 1.0 Participant","","","Canton Pediatrics","","Equality Health","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: No Application;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
"001Hs000037iLcvIAE","0","","CENTRAL PHOENIX FAMILY MEDICI","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","(602) 495-8960","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 21:45:08","005Hs00000CSLH8IAP","2025-03-14 17:31:05","2025-03-14 00:00:00","","","","","1","ADULT PCP","201270514","drhout1@hotmail.com","","","","","","","","","","","","","201270514","","","None","None","TI 1.0 Participant","","","Central Phoenix Family Medicine","","Equality Health","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: Eligible;Y1 - Peds BH: No Application;Y1 - Peds PCP: No Application;Y1 - Justice: No Application"
"001Hs000037iLcwIAE","0","","DESERT SHORES PEDIATRICS PC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","(480) 460-4949","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 21:55:53","005Hs00000CSLH8IAP","2025-03-14 17:31:05","2025-03-14 00:00:00","","","","","1","PEDS PCP","202851929","christie.az@outlook.com","","","","","","","","","","","","","202851929","","","None","None","New TI Participant","","","Desert Shores Pediatrics","","Phoenix Children's Care Network","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: No Application;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
"001Hs000037iLcxIAE","0","","GOOD HEALTH MEDICAL","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 22:25:37","005Hs00000CSLH8IAP","2025-03-14 17:31:04","2025-03-14 00:00:00","","","","","1","ADULT PCP","203134104","hailey.duncan@mydrnow.com","","","","","","","","","","","","","203134104","","","None","None","TI 1.0 Participant","","","Good Health Medical dba My Dr Now","","None","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: Eligible;Y1 - Peds BH: No Application;Y1 - Peds PCP: No Application;Y1 - Justice: No Application"
"001Hs000037iLcyIAE","0","","ALIA FAMILY PRACTICE INC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-06 21:39:42","005Hs00000CSLH8IAP","2025-03-14 17:31:04","2025-03-14 00:00:00","","","","","1","ADULT PCP","203534882","rene.tempefamilypractice@gmail.com","","","","","","","","","","","","","203534882","","","None","None","TI 1.0 Participant","","","Alia Family Practice","","Equality Health","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: Eligible;Y1 - Peds BH: No Application;Y1 - Peds PCP: No Application;Y1 - Justice: No Application"
"001Hs000037iLczIAE","0","","WEE CARE FAMILY CLINIC","Customer","000000000000000AAA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","005Hs00000CSMBoIAP","2024-01-29 21:43:32","005Hs00000CSMBoIAP","2025-01-07 21:11:54","005Hs00000CSLH8IAP","2025-03-14 17:31:10","2025-03-14 00:00:00","","","","","1","PEDS PCP","203775557","bessie@weecare4kids.com","","","","","","","","","","","","","203775557","","","None","None","TI 1.0 Participant","","","Wee Care Family Clinic","","Equality Health;Phoenix Children's Care Network","","","","","","","","Y1 - Adult BH: No Application;Y1 - Adult PCP: No Application;Y1 - Peds BH: No Application;Y1 - Peds PCP: Eligible;Y1 - Justice: No Application"
